method,date,t1_nav,estimated_nav,official_nav,estimated_change_pct,official_change_pct,error_pp,over_threshold
v_index_full_no_cash,2026-06-03,2.239,2.276051,2.2762,1.6548,1.6615,-0.0067,0
v_index_full_no_cash,2026-06-04,2.2762,2.257373,2.2584,-0.8271,-0.782,-0.0451,0
v_index_full_no_cash,2026-06-05,2.2584,2.186073,2.1898,-3.2026,-3.0375,-0.165,0
v_index_full_no_cash,2026-06-08,2.1898,2.10894,2.1128,-3.6926,-3.5163,-0.1763,0
v_index_full_no_cash,2026-06-09,2.1128,2.195922,2.193,3.9342,3.7959,0.1383,0
v_index_full_no_cash,2026-06-10,2.193,2.133795,2.1373,-2.6997,-2.5399,-0.1598,0
v_index_full_no_cash,2026-06-11,2.1373,2.113155,2.1148,-1.1297,-1.0527,-0.077,0
v_index_full_no_cash,2026-06-12,2.1148,2.125402,2.1236,0.5013,0.4161,0.0852,0
v_index_full_no_cash,2026-06-15,2.1236,2.236247,2.2304,5.3045,5.0292,0.2753,0
v_index_full_no_cash,2026-06-16,2.2304,2.26878,2.2673,1.7207,1.6544,0.0664,0
v_index_full_no_cash,2026-06-17,2.2673,2.302725,2.3015,1.5624,1.5084,0.054,0
v_index_full_no_cash,2026-06-18,2.3015,2.348635,2.3467,2.048,1.9639,0.0841,0
v_index_full_no_cash,2026-06-22,2.3467,2.40575,2.404,2.5163,2.4417,0.0746,0
v_index_full_no_cash,2026-06-23,2.404,2.311798,2.3146,-3.8354,-3.7188,-0.1166,0
v_index_full_no_cash,2026-06-24,2.3146,2.347302,2.3454,1.4129,1.3307,0.0822,0
v_index_full_no_cash,2026-06-25,2.3454,2.411913,2.4078,2.8359,2.6605,0.1754,0
v_index_full_no_cash,2026-06-26,2.4078,2.309891,2.3158,-4.0663,-3.8209,-0.2454,0
v_index_full_no_cash,2026-06-29,2.3158,2.328218,2.3273,0.5362,0.4966,0.0396,0
v_index_full_no_cash,2026-06-30,2.3273,2.39685,2.392,2.9884,2.78,0.2084,0
