date,t1_date,t1_nav,official_nav,official_pct,v_active_top10,v_active_top10_est_pct,v_active_bench_csi300,v_active_bench_csi300_est_pct,v_active_bench_csi500,v_active_bench_csi500_est_pct,v_active_bench_csi1000,v_active_bench_csi1000_est_pct,v_active_bench_cyb,v_active_bench_cyb_est_pct,v_active_top10_blend_csi1000_a0.3,v_active_top10_blend_est_pct,v_active_alpha,v_active_top10_resid_csi1000,v_active_top10_resid_cyb,v_active_top10_resid_csi500
2026-05-28,2026-05-27,3.39,3.458,0.02005899705014751,"(3.487320528909219, None)",0.028708120622188478,"(3.3941731186627355, -1.845774474761847)",0.001231008455084279,"(3.40281217163796, -1.5959464535003003)",0.0037794016631149284,"(3.4261862520789186, -0.920004277648398)",0.010674410642748749,"(3.4564480632007775, -0.044879606686602645)",0.019601198584300126,"(3.488347494743219, 0.8776025084794313)",0.029011060396229686,"(3.490743748355885, 0.9468984486953378)","(3.490743748355885, 0.9468984486953378)","(3.493606515688013, 1.0296852425683274)","(3.48853256034617, 0.882954318859743)"
2026-05-29,2026-05-28,3.458,3.376,-0.023713128976286954,"(3.3628125827015984, None)",-0.027526725650203022,"(3.4424544516080195, 1.9684375476309142)",-0.004495531634465101,"(3.3757572184862195, -0.007191395550368257)",-0.0237833376268886,"(3.3663202399052623, -0.28672275162137406)",-0.026512365556604266,"(3.3849650146967027, 0.26555138319617466)",-0.021120585686320806,"(3.3602107111101094, -0.4676922064541027)",-0.02827914658469945,"(3.3541396773966357, -0.6475214041280876)","(3.3541396773966357, -0.6475214041280876)","(3.355903473091906, -0.5952762709743399)","(3.3550324155703946, -0.62107773784376)"
2026-06-01,2026-05-29,3.376,3.274,-0.030213270142180056,"(3.2939416348169166, None)",-0.02430638779119765,"(3.342968879142605, 2.1065631992243388)",-0.009784099780034014,"(3.3415322950011723, 2.0626846365660447)",-0.010209628257946586,"(3.350462602702713, 2.3354490746094343)",-0.007564394934030509,"(3.3032554302912542, 0.8935684267334824)",-0.02154756211751946,"(3.2932168834816196, 0.5869542908252762)",-0.024521065319425436,"(3.2915257970325933, 0.5353022917713277)","(3.2915257970325933, 0.5353022917713277)","(3.2870599985224693, 0.3989003824822635)","(3.2906809899240272, 0.5094987759324137)"
2026-06-02,2026-06-01,3.274,3.298,0.007330482590103855,"(3.298340657802732, None)",0.007434532010608373,"(3.3215144216160337, 0.7129903461502024)",0.014512651684799456,"(3.2926855379098336, -0.1611419675611399)",0.005707250430615019,"(3.2895564579049648, -0.2560200756529801)",0.004751514326501129,"(3.360949943848848, 1.9087308626091)",0.026557710399770354,"(3.298782150078075, 0.023715890784563882)",0.007569379987194476,"(3.2998122987205414, 0.05495144695395205)","(3.2998122987205414, 0.05495144695395205)","(3.306566122490833, 0.25973688571355685)","(3.300108309689002, 0.06392691597943526)"
2026-06-03,2026-06-02,3.298,3.35,0.015767131594906017,"(3.3694022810617064, None)",0.02165017618608435,"(3.3142733828203097, -1.0664661844683698)",0.004934318623502129,"(3.314138785918535, -1.0704840024317952)",0.004893506949222264,"(3.316839800824851, -0.9898566917954894)",0.0057124926697547885,"(3.352574854081898, 0.07686131587754406)",0.01654786357850138,"(3.369936954609116, 0.5951329734064391)",0.021812296728051992,"(3.3711845262197375, 0.6323739170070874)","(3.3711845262197375, 0.6323739170070874)","(3.374565062257854, 0.7332854405329532)","(3.3709290102095997, 0.6247465734208831)"
2026-06-04,2026-06-03,3.35,3.343,-0.002089552238806005,"(3.357434293980264, None)",0.002219192232914703,"(3.3268943484147693, -0.4817724075749535)",-0.0068972094284270365,"(3.347831874937516, 0.14453709056284844)",-0.0006472015111892509,"(3.345000829511001, 0.059851316512144814)",-0.001492289698208688,"(3.3222907081686164, -0.6194822563979536)",-0.0082714303974279,"(3.357292417521786, 0.4275326808790376)",0.0021768410512795406,"(3.356961372452005, 0.41763004642551316)","(3.356961372452005, 0.41763004642551316)","(3.3548129949730154, 0.3533650904282222)","(3.3572291893493538, 0.42564132065072685)"
2026-06-05,2026-06-04,3.343,3.261,-0.024528866287765436,"(3.242757830738065, None)",-0.02998569227099456,"(3.283139808491573, 0.6789269699961034)",-0.017906129676466324,"(3.30075497861368, 1.2191039133296449)",-0.01263685952327856,"(3.311582506966964, 1.5511348349268281)",-0.009397993728099222,"(3.2359383893013347, -0.7685253204129229)",-0.03202560894366288,"(3.2418662022857876, -0.5867463267161156)",-0.030252407332998017,"(3.23978573589714, -0.6505447440312816)","(3.23978573589714, -0.6505447440312816)","(3.232629802365971, -0.8699845947264313)","(3.2387614517149195, -0.6819548692143714)"
2026-06-08,2026-06-05,3.261,3.153,-0.03311867525298991,"(3.2015125084685283, None)",-0.018242101052275996,"(3.191077907874742, 1.2076723081110678)",-0.021441917241722855,"(3.1473005046211187, -0.18076420484875896)",-0.03486645059149992,"(3.1594663734870903, 0.20508637764320414)",-0.031135733367957552,"(3.1405848971749157, -0.3937552434216394)",-0.03692582116684587,"(3.1986309841480915, 1.4472243624513645)",-0.019125733165258632,"(3.1919074274004067, 1.2339812052142927)","(3.1919074274004067, 1.2339812052142927)","(3.1901212397412753, 1.177330787861568)","(3.190756536205686, 1.1974797401105606)"
2026-06-09,2026-06-08,3.153,3.261,0.03425309229305427,"(3.282181576561507, None)",0.040971004301144046,"(3.211981171859685, -1.503183935612242)",0.01870636595613222,"(3.237225407998264, -0.7290583257202097)",0.02671278401467299,"(3.2456388667560665, -0.4710559105775413)",0.02938118197147696,"(3.2770459501257285, 0.4920561216108066)",0.03934219794663129,"(3.284810667600045, 0.7301645998173777)",0.041804842245494564,"(3.2909452133566313, 0.9182831449442238)","(3.2909452133566313, 0.9182831449442238)","(3.2939163234434012, 1.00939354318924)","(3.290149300158143, 0.8938761164717295)"
2026-06-10,2026-06-09,3.261,3.199,-0.0190125728304202,"(3.2401230470061284, None)",-0.006402009504407127,"(3.224858657077507, 0.8083356385591437)",-0.011082901846824011,"(3.216204110012758, 0.5377964993047206)",-0.0137368567884828,"(3.2139687848987903, 0.4679207533226164)",-0.014422329071208061,"(3.1729622378903866, -0.8139344204318)",-0.026997167160261713,"(3.238788301121556, 1.24377308913899)",-0.006811315203448012,"(3.235673894057554, 1.1464174447500521)","(3.235673894057554, 1.1464174447500521)","(3.231794674710559, 1.0251539453128782)","(3.2358853558133354, 1.1530276903199599)"
