date,open,high,low,close,volume,amount
2025-10-22,41.82,42.24,40.6,40.71,16331473.0,0.0
2025-10-23,40.53,40.63,39.39,40.2,13955578.0,0.0
2025-10-24,40.18,41.18,39.81,40.12,13874158.0,0.0
2025-10-27,40.02,43.12,40.02,42.18,24401004.0,0.0
2025-10-28,41.4,41.75,38.01,38.56,33368683.0,0.0
2025-10-29,38.2,39.08,37.81,38.91,15344542.0,0.0
2025-10-30,38.95,40.98,38.6,39.33,18769453.0,0.0
2025-10-31,39.6,40.13,38.85,39.54,11115372.0,0.0
2025-11-03,39.73,40.23,38.38,38.47,12695629.0,0.0
2025-11-04,38.42,38.6,37.37,37.84,10579371.0,0.0
2025-11-05,37.74,39.6,37.47,39.15,11573294.0,0.0
2025-11-06,39.02,39.42,38.15,38.56,10190246.0,0.0
2025-11-07,38.66,39.67,38.32,38.69,11045226.0,0.0
2025-11-10,39.12,41.6,38.9,41.1,21398346.0,0.0
2025-11-11,40.99,41.07,40.08,40.62,11717605.0,0.0
2025-11-12,40.75,42.15,40.31,40.89,15088829.0,0.0
2025-11-13,40.0,40.57,39.2,40.42,14343144.0,0.0
2025-11-14,40.01,41.43,39.41,39.41,11090704.0,0.0
2025-11-17,39.21,39.4,36.98,37.76,17086290.0,0.0
2025-11-18,37.62,38.04,37.31,37.39,7415769.0,0.0
2025-11-19,37.37,37.75,37.02,37.61,5098431.0,0.0
2025-11-20,37.71,39.38,37.5,38.9,12598518.0,0.0
2025-11-21,38.86,39.68,38.25,38.57,9885165.0,0.0
2025-11-24,38.66,40.85,38.66,40.18,17436305.0,0.0
2025-11-25,40.18,40.78,39.92,40.26,9965409.0,0.0
2025-11-26,40.2,41.88,40.07,40.74,15676681.0,0.0
2025-11-27,40.83,42.4,40.71,41.53,14510904.0,0.0
2025-11-28,41.18,43.1,41.15,43.07,17933287.0,0.0
2025-12-01,42.9,43.88,42.65,43.48,12112896.0,0.0
2025-12-02,43.46,43.47,42.27,42.4,8745596.0,0.0
2025-12-03,42.44,44.0,42.34,43.22,11611241.0,0.0
2025-12-04,43.32,43.9,42.65,43.01,7677026.0,0.0
2025-12-05,43.03,43.93,42.8,43.3,7652063.0,0.0
2025-12-08,43.48,44.1,42.68,43.72,8271619.0,0.0
2025-12-09,43.53,43.53,41.09,41.83,16357427.0,0.0
2025-12-10,41.82,42.27,41.4,41.76,6611030.0,0.0
2025-12-11,41.84,41.98,40.55,40.61,7450497.0,0.0
2025-12-12,40.83,41.8,40.4,41.54,7048737.0,0.0
2025-12-15,41.54,43.2,41.4,42.75,10453984.0,0.0
2025-12-16,42.56,43.86,41.82,42.8,9505329.0,0.0
2025-12-17,42.73,45.0,41.97,44.75,13522718.0,0.0
2025-12-18,44.7,44.88,43.61,44.04,7747999.0,0.0
2025-12-19,43.81,44.8,43.48,43.66,7742931.0,0.0
2025-12-22,43.35,44.63,43.16,44.38,6349038.0,0.0
2025-12-23,44.3,44.38,43.4,43.82,5982975.0,0.0
2025-12-24,43.67,44.09,42.55,43.64,10759507.0,0.0
2025-12-25,43.48,44.62,43.32,43.47,6402037.0,0.0
2025-12-26,43.52,44.2,39.42,40.55,26075758.0,0.0
2025-12-29,40.55,40.99,39.8,39.9,10410361.0,0.0
2025-12-30,39.86,40.34,39.1,39.2,10159609.0,0.0
2025-12-31,39.23,39.68,38.74,38.9,7592122.0,0.0
2026-01-05,38.9,40.2,38.57,40.06,12218737.0,0.0
2026-01-06,40.25,40.48,38.79,39.0,15635760.0,0.0
2026-01-07,38.96,39.67,38.21,39.29,12923974.0,0.0
2026-01-08,39.01,39.79,38.65,39.27,9029399.0,0.0
2026-01-09,39.44,39.73,39.0,39.52,9289932.0,0.0
2026-01-12,39.37,39.77,38.51,38.86,14540603.0,0.0
2026-01-13,38.81,39.31,38.0,38.21,13124388.0,0.0
2026-01-14,38.15,42.55,37.5,41.41,33431196.0,0.0
2026-01-15,41.41,42.59,40.76,42.41,19317550.0,0.0
2026-01-16,41.98,42.66,41.4,41.49,12342560.0,0.0
2026-01-19,41.19,42.79,40.95,42.0,10375429.0,0.0
2026-01-20,41.83,42.41,40.9,41.27,7591976.0,0.0
2026-01-21,41.35,42.58,41.27,41.92,9459849.0,0.0
2026-01-22,42.1,44.07,42.01,43.36,14313472.0,0.0
2026-01-23,43.48,43.99,42.69,43.67,9794270.0,0.0
2026-01-26,45.38,45.94,43.16,44.79,22652397.0,0.0
2026-01-27,45.0,45.36,40.8,43.66,21910401.0,0.0
2026-01-28,43.29,43.29,41.95,42.25,13152102.0,0.0
